Klinik;Nutzername;Local Guide;Anzahl geschriebener Rezensionen;Erfahrungsbericht;Sterne;Datum der Rezension;Likes;Antwort;Datum der Antwort;URL;Extraktionsdatum
MEDICLIN Seepark Klinik  ;Katrin Frankenfeld;Ja;14 Rezensionen;Kein Text; 5 Sterne ;vor einem Monat;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Uwe;Nein;2 Rezensionen;"Päckchen trotz mehrfacher Nachfrage nicht zurückgeschickt!

Nachdem meine Tochter aufgrund eines Therapeutenwechsels die Klinik vorzeitig verlassen hat, wurde ein Päckchen mit sehr persönlichem Inhalt und einem neuen DVD-Laufwerk sowie Kopfhörern nicht nachgesendet. Anfangs hieß es, das sei alles kein Problem und man würde sich kümmern, aber trotz mehrmaliger Nachfrage passierte nichts. Nun ist es angeblich nicht mehr auffindbar und natürlich werden Zuständigkeiten hin und her geschoben."; 1 Stern ;vor 3 Monaten;1;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Tashha B;Nein;21 Rezensionen;"Fühle mich missverstanden und wenig gut betreut und aufgehoben.
Essen ist für eine Klinik ok und die Zimmer sind sauber. Das Personal ist nett, bis auf wenige Ausnahmen.
Als Besucher top, als Patient ein flop."; 2 Sterne ;vor 3 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;K N;Nein;6 Rezensionen;"Ich warte seit letztem Jahr Juni auf den Bescheid, dass ich meine Reha in dieser Klinik antreten darf. Ich wurde auf tel. Nachfrage wg. Anreisetermin sehr unfreundlich darauf hingewiesen, dass ich warten soll, bis ich Bescheid bekomme. Heute wurde mir telefonisch mitgeteilt, dass ich in 3 Tagen meine Reha antreten soll. Die Mitarbeiter scheinen auch zu denken, dass man nur auf sie wartet u. sofort springt...
Mir ist die Lust auf meinen Reha-Aufenthalt gründlich vergangenen."; 1 Stern ;vor 3 Monaten;6;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;EinhornHoodie;Nein;1 Rezension;"War mit 10 da wurde gezwungen das zu essen was es gab,wenn nicht dann musste ich für 2h in die Kinderbetreuung als Strafe.
Die haben eigentlich versprochen mir mein eigenes Essen zu geben wurde nichts draus wäre fast verhungert und wurde 2 Wochen zu früh entlassen da ich angeblich keine Lust hatte mich behandeln zu lassen die Keks sind so dumm dort"; 1 Stern ;vor 3 Monaten;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;l p;Nein;17 Rezensionen;Ich war 2016 dort für 6 Wochen. Nie wieder! Ich habe mich selbst entlassen. Auf der Station wurden alle gleich behandelt, sowohl magersüchtig als auch Leute mit zivuel Gewicht. Für alle gab es dass gleiche Essen und dieses war einfach nur ekelhaft! Richtig Kantinenessen und oft dass selbe. Ich bin zb kein frühstücker und mir ging es daher msch dem frühstück immer schlecht.  Und da ich zunehmen musste, gab es immer 2 Brötchen und dann noch Müsli mit Joghurt,  was einfach viel zuviel für mich war. Die Gruppentherapien waren auch einfach furchtbar weil man von anderen Patienten getriggert wird und man schon mit sich selber zu kämpfen hat. Da interessiert es mich umso weniger was die kurz vorm sterbe sagendende  Dame neben mir auf dem stuhl für Probleme hat. Ich finde auch dass teilweise viel mobbing untereinander herrscht. Gerade was die Mädchen betrifft. Viele hübschen sich ständig auf und kommen aufgebrezelt zum essen in den Saal,  andere wiederum in Schlafssachen🤣 Zimmer sind so mittelmäßig. Könnten moderner und sauberer sein. Therapeuten zeigen wenig Verständnis für deine Probleme. Es wird einfach wie am Band abgearbeitet. Ich brauchte nach dieser Klinik erstmal Zeit um Zuhause runter zu kommen. Ich kann nichts gutes über die Klinik sagen. Sucht euch besser eine.; 1 Stern ;vor 4 Monaten;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Greta Handke;Nein;1 Rezension;Ich hatte in Bad Bodenteich echt super Erfahrung gemacht . Die haben mir richtig gut geholfen in der Klinik . Die Ki/Ju station ist echt super. Das Konzept ist auch echt gut nur muss man es auch selbst wollen sonst kommt man nicht weiter . Die Reha war ganz ok aber wenn man eine Esstörung hat, ist Bad Bodenteich echt gut . Es gibt tolle Menschen und man kann sich schnell wohl fühlen, wenn man es zu läßt .; 5 Sterne ;vor 4 Monaten;1;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;N K;Nein;3 Rezensionen;Kein Text; 5 Sterne ;vor 4 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Thomas Wranik;Nein;11 Rezensionen;"Finger weg von dieser Klinik!!!
Ich war gerade (bis 03.11.2020) 5 Wochen dort. Für Patienten mit Essstörungen wird überhaupt nichts getan, keine individuelle Beratung, kein Ernährungsplan, ein kurzes Gespräch ohne Konsequenz, sonst nichts. Die wenigen Gruppensitzungen in diesem Bereich sind gut, aber überhaupt nicht ausreichend.
Die Qualität des Essens in der Kantine ist eine Frechheit, es ist normaler Kantinenfraß, wird durch eine externe Tochterfirma von MEDICLIN abgewickelt  Das hat NICHTS mit einer gesunden Ernährung zu tun, es gibt kaum fettreduzierte Dinge, eher Sahne-Joghurt und Mousse auChocolat :-(.
Terminplanung und Organisatorisches sowie Abstimmung zwischen den Abteilungen sind ein absolutes Chaos. Termine werden doppelt/dreifach geplant, sind zu eng getaktet und überhaupt nicht  aufeinander abgestimmt. ""Schuld"" ist immer der Computer (nee, ist klar...), aber nie der User davor... Kümmert man sich nicht selbst mit massiven Nachdruck um wichtige Dinge (Nach-Reha etc.), passiert nichts
Die psychosomatische Teil ist befriedigend, die Einzelsitzung auf 30 Minuten/Woche begrenzt, viel zu wenig. Die Gruppen werden zusammengewürftelt, die Mitglieder paasen nicht wirklich immer zusammen. Seminare wir Trauerbewältigung, Stressbewältigung sind mit Vorsicht zu ""geniessen"", sehr fragwürdig in ihrer Form.
Einzig gut ist der Sportbereich, sehr gute Trainer/Therapeuten, motivierend, hilfsbereit und fordernd. Der Sportbereich ist gut ausgestattet, das Schwimmbad ist sehr gut.
Die Zimmer sind abgelebt, die Sauberkeit mittelmäßig, müsste besser sein.
Die Cafeteria ist ein teurer Kiosk, für Abnehmende völlig ungeeignet, von Gemütlichkeit ist nichts zu finden. Durch Corona wird man ohne Vorwarnung eingeknastet, erlaubt waren nur noch das Gelänge selbst und ein kleiner See an dieser Klinik, ansonsten ist nichts außerhalb möglich, kein Einkauf, nichts! Besuche von engen Angehörigen oder Lebenspartner außerhalb sind nicht erlaubt. Ich werde bei der Deutschen Rentenversicherung eine Beschwerde einreichen und dringend von der Zusammenarbeit mit dieser Klinik abraten, ich bin nicht der Einzige, der das machen wird."; 1 Stern ;vor 6 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Mia Voege;Nein;1 Rezension;Ich war für 5 Wochen in der Seepark-Klinik, da ich an einer Anorexie leide und ich war sehr sehr unglücklich.... ich kann die Klinik wirklich nicht weiterempfehlen. Die Organisation, wie auch das Essen ist schlecht und man fühlt sich einfach nicht richtig aufgenommen. Das Konzept, dass man mehrere Wochen das selbe isst und keine Therapien so wie irgendwelche Aktivitäten hat finde ich blöd also kann ich die Klinik nicht empfehlen. Ich bin froh , dass ich da weg bin und jetzt in einer anderen Klinik aufgenommen wurde.; 1 Stern ;vor 7 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
