Name der Klinik;Bewertung;Datum der Bewertung;Sternebewertung;Likes
Herzogin Elisabeth Hospital;"Lungenembolie!
Ein Tag ITS, phantastische Fürsorge und Betreuung.
Vier Tage Station E. Tolle Schwestern und Pfleger, die alles in ihrer Macht (und Kraft) stehende getan haben.";vor 2 Monaten;5;1
Herzogin Elisabeth Hospital;Tolles Krankenhaus,  trotzdem bin ich lieber gesund. War auch nur zu Besuch hier, kann die Ärzte usw. nicht beurteilen;vor einem Jahr;4;1
Herzogin Elisabeth Hospital;Ich werde nie wieder in ein anderes Krankenhaus gehen wenn es nötig ist. Die sind alle sehr nett und zuvorkommend. Ich bin sehr zufrieden!!!;vor 2 Monaten;5;1
Herzogin Elisabeth Hospital;Alles sehr gut. Volle Punktzahl!;vor 3 Jahren;5;4
Herzogin Elisabeth Hospital;"Vor wenigen Tagen wurde bei mir ein Ganglion am rechten Knie entfernt.
Der Eingriff verlief wie zu erwarten Reibungslos und Komplikationsfrei.
Ich wurde vor dem Eingriff Einwandfrei aufgeklärt und sämtliche Fragen und Anliegen wurden mir ohne weiteres beantwortet.
Das Personal war sehr freundlich und Professionell. Vor allem muss ich die Schwestern loben! Ihr seid wirklich allesamt Klasse und super freundlich und hilfsbereit. Zu keiner Zeit hatte ich das Gefühl, nur eine ''Nummer'' zu sein. Im Gegenteil! Bei euch habe ich mich trotz meines nur 2 tägigen Aufenthalts wirklich wohl und gut behandelt gefühlt. Ihr macht wirklich einen Klasse Job und nehmt euch viel Zeit für die Anliegen der Patienten.

Das HEH ist einfach ein Super Krankenhaus und ich kann es einfach nur jedem weiter empfehlen. Kollegen und Freunde sind da mit mir einer Meinung.

Ich danke euch allen von ganzen Herzen das ihr mich so gut behandelt habt. Ich komme gerne wieder.

Liebe Grüße
Gärtner. M";vor 4 Tagen;5;Keine
Herzogin Elisabeth Hospital;"Vor der Corona Pandemie hätte ich jeden zugestimmt, mittlerweile ist nur noch die Empfangsdame dort zu gebrauchen. Ärzte und Pfleger sind einfach unfreundlich geworden und wird innerhalb kürzester Zeit nichts aufgefunden wird man als spinner abgestempelt und entlassen.
Kommt bitte wieder zu eurer alten Leistung sonst müssen wir Braunschweiger bald in umliegenden städte ins Krankenhaus";vor 4 Wochen;2;1
Herzogin Elisabeth Hospital;Ich bin begeistert von der Leistung des Assistenzarztes Dr. med. Nico Fiedler. Er im Rahmen meiner Hüft OP einen fantastischen Job gemacht.;vor einem Monat;5;Keine
Herzogin Elisabeth Hospital;"Eine 100%tige Empfehlung.
Tolles Personal, alle freundlich und aufmerksam.";vor 2 Monaten;5;1
Herzogin Elisabeth Hospital;Am 20.02.2021 mit akutem Herzinfarkt puppenlustig und völlig ahnungslos um 17.00 Uhr in die Notaufnahme. Eigentlich wollte ich nur eine Schmerzspritze und dann wieder nach Hause. Ich bin genau an das richtige und tolle Team geraten. Doktor mit zwei perfekten Krankenschwestern. Vermutlich haben die drei mir das Leben gerettet!!! Ich dachte noch alles ist Spaß, bin dann aber schnell mit Blaulicht in die Salzdahlumer Str eingeliefert, wo mir noch am Abend zwei Stents gesetzt wurden. In beiden Häusern beste Teams und beste Pflege. Vielen Dank. Mir geht es wieder sehr gut.;vor einem Monat;4;2
Herzogin Elisabeth Hospital;Vor 6 Wochen Hüft Tep links bekommen. Fühlte mich super aufgehoben! Alles top gelaufen! Auch in der Reha traf ich Patienten, die im HEH operiert wurden und sehr zufrieden waren!;vor 2 Monaten;5;1
